soil_type,season,altitude,temperature,rainfall,crop
1,0,1800,20,900,rajma
1,0,2200,17,850,rajma
3,0,1600,22,950,rajma
1,1,2000,10,700,apple
5,2,1700,14,800,apple
1,2,1500,18,850,apple
1,0,1500,24,1100,finger_millet
2,0,1200,26,1200,finger_millet
4,0,2000,20,950,finger_millet
2,0,2500,14,750,potato
1,1,1800,16,800,potato
3,1,3000,10,600,potato
1,0,2500,12,650,buckwheat
2,2,3000,8,500,buckwheat
3,0,3500,6,450,buckwheat
1,1,1200,15,900,pea
3,2,1500,12,850,pea
1,2,2000,14,750,pea
1,1,1000,18,900,garlic
5,1,1500,16,850,garlic
1,1,2000,14,700,garlic
1,1,2000,12,700,barley
2,1,2500,10,600,barley
3,1,3000,8,500,barley
1,0,1500,22,1000,rajma
5,2,1600,16,820,apple
2,0,1300,25,1150,finger_millet
1,0,2800,11,620,potato
1,2,2200,9,480,buckwheat
3,2,1400,13,870,pea
5,1,1100,19,920,garlic
2,1,2200,11,650,barley
3,0,1700,21,920,rajma
1,1,2500,8,680,apple
4,0,1100,28,1300,finger_millet
2,1,1500,18,790,potato
1,0,3200,7,430,buckwheat
1,1,1800,11,800,pea
1,1,900,20,950,garlic
1,1,1600,14,720,barley
